date,new,total,vaccinated,new_vaccinated
2020-12-30,4595,18603,0,0.0
2020-12-31,5463,23502,0,0.0
2021-01-01,5415,28887,0,0.0
2021-01-02,4305,33191,0,0.0
2021-01-03,4361,37551,0,0.0
2021-01-04,4808,42419,0,0.0
2021-01-05,7607,50030,0,0.0
2021-01-06,10350,60380,430,430.0
2021-01-07,12251,72631,1087,657.0
2021-01-08,14932,87563,2027,940.0
2021-01-09,15700,103263,2940,913.0
2021-01-10,9983,113246,2942,2.0
2021-01-11,8859,122105,2942,0.0
2021-01-12,11448,133553,3023,81.0
2021-01-13,11231,144784,4389,1366.0
2021-01-14,14237,159021,6647,2258.0
2021-01-15,15609,174630,8547,1900.0
2021-01-16,14460,189090,9667,1120.0
2021-01-17,11007,200097,10857,1190.0
2021-01-18,9691,209788,10876,19.0
2021-01-19,14346,224134,12805,1929.0
2021-01-20,13784,237918,16181,3376.0
2021-01-21,15899,253817,20113,3932.0
2021-01-22,11168,264985,24646,4533.0
2021-01-23,11161,276146,28954,4308.0
2021-01-24,4427,280573,31441,2487.0
2021-01-25,5537,286110,35628,4187.0
2021-01-26,9707,295817,41643,6015.0
2021-01-27,9513,305330,48230,6587.0
2021-01-28,11910,317240,55286,7056.0
2021-01-29,10215,327455,61679,6393.0
2021-01-30,9373,336828,67787,6108.0
2021-01-31,2816,339644,68849,1062.0
2021-02-01,2256,341900,70293,1444.0
2021-02-02,2715,344615,72057,1764.0
2021-02-03,3716,348331,74994,2937.0
2021-02-04,6724,355055,80977,5983.0
2021-02-05,7694,362749,87831,6854.0
2021-02-06,9917,372666,96573,8742.0
2021-02-07,6518,379184,101744,5171.0
2021-02-08,6987,386171,106163,4419.0
2021-02-09,12462,398633,115529,9366.0
2021-02-10,13486,412119,125725,10196.0
2021-02-11,14717,426836,136988,11263.0
2021-02-12,15605,442441,151282,14294.0
2021-02-13,14506,456947,164307,13025.0
2021-02-14,10679,467626,174643,10336.0
2021-02-15,7698,475324,182137,7494.0
2021-02-16,5053,480377,186934,4797.0
2021-02-17,9107,489484,195366,8432.0
2021-02-18,12383,501867,205802,10436.0
2021-02-19,16967,518834,217715,11913.0
